Id,Label,NodeType
Boom Festival,Boom Festival,Festival
Burning Man,Burning Man,Festival
Coachella,Coachella,Festival
Dour Festival,Dour Festival,Festival
Electric Daisy Carnival,Electric Daisy Carnival,Festival
Esperanzah!,Esperanzah!,Festival
Gent Jazz,Gent Jazz,Festival
Glastonbury Festival,Glastonbury Festival,Festival
Hellfest,Hellfest,Festival
Lollapalooza,Lollapalooza,Festival
Montreux Jazz Festival,Montreux Jazz Festival,Festival
Reading & Leeds,Reading & Leeds,Festival
Rock Werchter,Rock Werchter,Festival
Rock am Ring,Rock am Ring,Festival
Splendour in the Grass,Splendour in the Grass,Festival
Sziget Festival,Sziget Festival,Festival
Tomorrowland,Tomorrowland,Festival
Ultra Music Festival,Ultra Music Festival,Festival
Vieilles Charrues,Vieilles Charrues,Festival
Mobilité,Mobilité,Theme
Déchets,Déchets,Theme
Énergie,Énergie,Theme
Eau,Eau,Theme
Alimentation,Alimentation,Theme
Social,Social,Theme
Gouvernance,Gouvernance,Theme
